 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Região/Unidade da Federação e Ano
Período:2010-2013
"Região/Unidade da Federação";"2010";"2011";"2012";"2013";"Total"
"Região Norte";13041,58;14979,04;15857,85;17213,30;15308,67
".. Rondônia";15322,00;17495,77;18923,75;17990,69;17454,51
".. Acre";11385,25;11998,09;13346,94;14733,50;12893,24
".. Amazonas";17490,23;19990,87;20109,91;21873,65;19914,05
".. Roraima";14714,41;15880,55;16427,50;18495,80;16419,37
".. Pará";10875,78;12842,35;13707,82;15176,18;13176,99
".. Amapá";12320,68;13759,23;15935,25;17363,82;14910,31
".. Tocantins";11858,96;13102,78;14583,94;16086,37;13945,93
"Região Nordeste";9848,97;10904,56;12099,67;12954,80;11472,29
".. Maranhão";7049,63;7850,58;9005,51;9948,47;8477,22
".. Piauí";7140,47;8263,02;9056,89;9811,04;8575,38
".. Ceará";9390,62;10510,94;11249,65;12393,39;10901,42
".. Rio Grande do Norte";11421,48;12818,51;14368,62;15247,87;13495,10
".. Paraíba";8899,93;9790,27;11132,89;11834,54;10429,39
".. Pernambuco";11049,07;12423,82;14308,99;15282,28;13291,58
".. Alagoas";8694,50;10073,12;10940,19;11276,59;10262,79
".. Sergipe";12769,04;13930,30;15537,41;16028,28;14591,58
".. Bahia";11012,34;11817,76;12858,32;13577,74;12339,83
"Região Sudeste";27141,92;30294,98;32942,51;34789,78;31340,44
".. Minas Gerais";17919,28;20277,55;22244,00;23646,21;21057,34
".. Espírito Santo";24287,06;29873,39;32623,25;30484,96;29359,78
".. Rio de Janeiro";28127,45;31800,33;35354,38;38262,13;33418,69
".. São Paulo";31383,79;34499,90;37105,08;39122,26;35583,27
"Região Sul";22647,46;25251,38;27546,04;30495,79;26537,27
".. Paraná";21572,72;24444,97;26962,78;30264,90;25871,17
".. Santa Catarina";24598,11;27551,89;30021,49;32289,58;28675,04
".. Rio Grande do Sul";22556,67;24687,22;26651,76;29657,28;25929,24
"Região Centro-Oeste";25253,47;28082,27;30781,99;32322,31;29169,86
".. Mato Grosso do Sul";19300,48;22253,23;24738,69;26714,57;23304,87
".. Mato Grosso";18657,31;22484,64;25550,79;28007,75;23735,12
".. Goiás";17783,32;19939,47;22509,40;23470,48;20976,64
".. Distrito Federal";56250,67;59183,31;61876,08;62859,43;60113,56
"Total";20371,64;22734,56;24779,53;26445,72;23623,84
 Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca
 de Manaus - SUFRAMA.
 Notas:
 
 Valores do PIB per capita estão em reais correntes. Os demais valores estão em milhares de reais correntes.
 Os valores do PIB per capita podem divergir do publicado em outras fontes, caso haja diferença
 nos valores estimados da população.
 Série histórica construída com a referência 2010.
 Para mais detalhes sobre a metodologia de cálculo, consulte o sítio do IBGE.
 
